Data,VT_BRL,BOVA11,IMAB11,CDI
Jan/20,0.04790000,-0.02090000,0.00240000,0.00380000
Feb/20,-0.02240000,-0.07620000,0.00430000,0.00290000
Mar/20,-0.01430000,-0.31060000,-0.06990000,0.00340000
Apr/20,0.15920000,0.11330000,0.01040000,0.00280000
May/20,0.03460000,0.08990000,0.01670000,0.00240000
Jun/20,0.03780000,0.08880000,0.01290000,0.00210000
Jul/20,0.00930000,0.08370000,0.04340000,0.00190000
Aug/20,0.10870000,-0.03620000,-0.00240000,0.00160000
Sep/20,0.00890000,-0.04860000,-0.01650000,0.00160000
Oct/20,0.01020000,-0.00430000,-0.00330000,0.00160000
Nov/20,0.03910000,0.15820000,0.01750000,0.00150000
Dec/20,0.01340000,0.09190000,0.04320000,0.00160000
Jan/21,0.05590000,-0.03570000,0.00000000,0.00150000
Feb/21,0.05240000,-0.04500000,-0.01700000,0.00130000
Mar/21,0.05780000,0.06090000,-0.00480000,0.00200000
Apr/21,-0.03470000,0.02120000,0.01880000,0.00210000
May/21,-0.00300000,0.05990000,0.00620000,0.00270000
Jun/21,-0.04760000,0.00460000,-0.01570000,0.00310000
Jul/21,0.06170000,-0.03860000,0.00640000,0.00360000
Aug/21,0.01870000,-0.02590000,-0.01130000,0.00430000
Sep/21,-0.00220000,-0.06650000,0.00490000,0.00440000
Oct/21,0.09840000,-0.06390000,-0.03090000,0.00490000
Nov/21,-0.03180000,-0.01330000,0.02680000,0.00590000
Dec/21,0.02470000,0.02490000,-0.01180000,0.00770000
Jan/22,-0.07440000,0.07120000,0.01040000,0.00730000
Feb/22,-0.06460000,0.00850000,0.00210000,0.00760000
Mar/22,-0.06050000,0.06150000,0.03800000,0.00930000
Apr/22,-0.03990000,-0.10550000,0.00450000,0.00830000
May/22,-0.03920000,0.03660000,0.00420000,0.01030000
Jun/22,-0.00540000,-0.11360000,0.00750000,0.01020000
Jul/22,0.07540000,0.04530000,-0.02070000,0.01030000
Aug/22,-0.04960000,0.06580000,0.00840000,0.01170000
Sep/22,-0.05140000,0.00600000,0.01280000,0.01070000
Oct/22,0.04750000,0.05340000,0.01150000,0.01020000
Nov/22,0.07880000,-0.03180000,-0.00900000,0.01020000
Dec/22,-0.04880000,-0.02420000,0.00440000,0.01120000
Jan/23,0.04990000,0.03670000,0.00020000,0.01120000
Feb/23,-0.01570000,-0.07910000,0.02250000,0.00920000
Mar/23,0.00410000,-0.02630000,0.02100000,0.01170000
Apr/23,-0.00400000,0.02450000,0.02290000,0.00920000
May/23,-0.00220000,0.03900000,0.02400000,0.01120000
Jun/23,0.01360000,0.08900000,0.01890000,0.01070000
Jul/23,0.01570000,0.03310000,0.01490000,0.01070000
Aug/23,0.00550000,-0.04780000,-0.00750000,0.01140000
Sep/23,-0.01870000,0.00750000,-0.00830000,0.00970000
Oct/23,-0.02220000,-0.03120000,-0.01060000,0.01000000
Nov/23,0.05940000,0.12730000,0.02970000,0.00920000
Dec/23,0.02940000,0.05520000,0.02840000,0.00890000
Jan/24,0.03120000,-0.04940000,-0.00550000,0.00970000
Feb/24,0.04850000,0.01050000,0.00450000,0.00800000
Mar/24,0.03740000,-0.00730000,0.00150000,0.00830000
Apr/24,-0.01200000,-0.01570000,-0.01300000,0.00890000
May/24,0.06330000,-0.03040000,0.01030000,0.00830000
Jun/24,0.08650000,0.01450000,-0.00770000,0.00790000
Jul/24,0.02850000,0.03040000,0.01620000,0.00910000
Aug/24,0.02300000,0.06900000,0.01650000,0.00870000
Sep/24,-0.01350000,-0.03140000,-0.01500000,0.00840000
Oct/24,0.04110000,-0.01690000,-0.01010000,0.00930000
Nov/24,0.07950000,-0.03120000,0.01770000,0.00790000
Dec/24,-0.00350000,-0.04130000,-0.04080000,0.00930000
Jan/25,-0.01270000,0.04890000,0.01120000,0.01010000
Feb/25,-0.01020000,-0.02430000,0.00270000,0.00990000
Mar/25,-0.05160000,0.06070000,0.01890000,0.00960000
Apr/25,-0.01540000,0.03400000,0.02050000,0.01060000
May/25,0.06660000,0.01790000,0.01750000,0.01140000
Jun/25,0.00750000,0.01390000,0.01080000,0.01100000
Jul/25,0.03380000,-0.04390000,-0.00870000,0.01280000
Aug/25,0.00220000,0.06640000,0.00990000,0.01160000
Sep/25,0.01000000,0.03420000,0.00490000,0.01220000
Oct/25,0.03540000,0.02210000,0.00950000,0.01280000
Nov/25,-0.00290000,0.06450000,0.02190000,0.01050000
Dec/25,0.02380000,0.01380000,0.00120000,0.01220000
Jan/26,-0.01510000,0.12780000,0.01200000,0.01160000
Feb/26,0.00610000,0.03910000,0.01730000,0.01000000
Mar/26,-0.04110000,-0.00480000,-0.00030000,0.01210000
Apr/26,0.04430000,-0.00100000,0.02070000,0.01090000
May/26,0.04880000,-0.07250000,0.00030000,0.01070000
Jun/26,0.00950000,-0.02580000,-0.00430000,0.00590000
